T0: [-0.050000, 0.050000] [0.340000, 0.440000] [0.610000, 0.710000] [0.760000, 0.860000] [0.790000, 0.890000] [0.700000, 0.800000] [0.490000, 0.590000] [0.160000, 0.260000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T32: [0.178949, 0.278950] [0.214630, 0.314632] [0.214584, 0.314586] [0.238371, 0.338374] [0.226969, 0.326971] [0.234244, 0.334246] [0.211207, 0.311209] [0.203879, 0.303881] [0.173534, 0.273536] [0.159165, 0.259167] [0.128636, 0.228637] [0.117306, 0.217308] [0.093633, 0.193634] [0.094077, 0.194078] [0.081578, 0.181580] [0.098095, 0.198096] [0.096912, 0.196913] [0.127879, 0.227881] [0.133990, 0.233991] [0.172344, 0.272346] 
T33: [0.193487, 0.293489] [0.196766, 0.296768] [0.226501, 0.326503] [0.220777, 0.320779] [0.236308, 0.336310] [0.219088, 0.319090] [0.219061, 0.319064] [0.192370, 0.292373] [0.181522, 0.281524] [0.151085, 0.251087] [0.138236, 0.238238] [0.111134, 0.211136] [0.105691, 0.205693] [0.087606, 0.187607] [0.096086, 0.196087] [0.089245, 0.189246] [0.112987, 0.212988] [0.115451, 0.215452] [0.150112, 0.250113] [0.156469, 0.256471] 
T34: [0.176618, 0.276620] [0.209994, 0.309996] [0.208771, 0.308774] [0.231404, 0.331407] [0.219932, 0.319935] [0.227684, 0.327687] [0.205729, 0.305732] [0.200292, 0.300294] [0.171727, 0.271730] [0.159879, 0.259881] [0.131109, 0.231111] [0.121964, 0.221965] [0.099370, 0.199372] [0.100889, 0.200890] [0.088425, 0.188427] [0.104536, 0.204538] [0.102348, 0.202349] [0.131549, 0.231551] [0.135960, 0.235961] [0.171799, 0.271801] 
T35: [0.190897, 0.290899] [0.192694, 0.292697] [0.220699, 0.320701] [0.214352, 0.314354] [0.229544, 0.329547] [0.212831, 0.312833] [0.213988, 0.313991] [0.188728, 0.288731] [0.180085, 0.280088] [0.151418, 0.251421] [0.140921, 0.240923] [0.115240, 0.215241] [0.111426, 0.211428] [0.093898, 0.193899] [0.102712, 0.202714] [0.095387, 0.195388] [0.118043, 0.218044] [0.119154, 0.219155] [0.151674, 0.251676] [0.156289, 0.256291] 
T36: [0.174492, 0.274494] [0.205798, 0.305800] [0.203523, 0.303525] [0.225121, 0.325124] [0.213591, 0.313594] [0.221766, 0.321769] [0.200779, 0.300782] [0.197037, 0.297039] [0.170073, 0.270076] [0.160503, 0.260506] [0.133329, 0.233331] [0.126174, 0.226176] [0.104569, 0.204570] [0.107069, 0.207071] [0.094642, 0.194644] [0.110377, 0.210379] [0.107270, 0.207272] [0.134858, 0.234860] [0.137721, 0.237723] [0.171285, 0.271287] 
T37: [0.188541, 0.288544] [0.189007, 0.289010] [0.215459, 0.315462] [0.208557, 0.308560] [0.223444, 0.323447] [0.207185, 0.307188] [0.209401, 0.309404] [0.185426, 0.285429] [0.178770, 0.278773] [0.151701, 0.251703] [0.143338, 0.243341] [0.118949, 0.218951] [0.116621, 0.216623] [0.099605, 0.199607] [0.108723, 0.208725] [0.100956, 0.200958] [0.122618, 0.222620] [0.122496, 0.222497] [0.153072, 0.253074] [0.156106, 0.256108] 
T38: [0.172557, 0.272559] [0.202000, 0.302003] [0.198782, 0.298785] [0.219451, 0.319454] [0.207871, 0.307874] [0.216422, 0.316425] [0.196306, 0.296309] [0.194085, 0.294088] [0.168564, 0.268566] [0.161054, 0.261057] [0.135325, 0.235327] [0.129980, 0.229982] [0.109277, 0.209279] [0.112672, 0.212674] [0.100281, 0.200282] [0.115671, 0.215672] [0.111726, 0.211728] [0.137845, 0.237847] [0.139301, 0.239303] [0.170807, 0.270809] 
T39: [0.186403, 0.286406] [0.185669, 0.285672] [0.210726, 0.310729] [0.203327, 0.303329] [0.217937, 0.317940] [0.202088, 0.302091] [0.205254, 0.305257] [0.182435, 0.282438] [0.177570, 0.277573] [0.151944, 0.251947] [0.145517, 0.245519] [0.122301, 0.222303] [0.121326, 0.221328] [0.104779, 0.204781] [0.114171, 0.214173] [0.106003, 0.206005] [0.126758, 0.226760] [0.125513, 0.225515] [0.154326, 0.254328] [0.155929, 0.255931] 
T40: [0.170799, 0.270801] [0.198564, 0.298567] [0.194498, 0.294501] [0.214331, 0.314334] [0.202707, 0.302710] [0.211595, 0.311599] [0.192261, 0.292264] [0.191412, 0.291415] [0.167189, 0.267192] [0.161543, 0.261546] [0.137123, 0.237125] [0.133421, 0.233424] [0.113540, 0.213542] [0.117749, 0.217751] [0.105391, 0.205393] [0.120464, 0.220467] [0.115758, 0.215760] [0.140542, 0.240544] [0.140721, 0.240723] [0.170364, 0.270367] 
T41: [0.184464, 0.284467] [0.182648, 0.282651] [0.206448, 0.306451] [0.198603, 0.298606] [0.212963, 0.312967] [0.197484, 0.297488] [0.201503, 0.301507] [0.179725, 0.279728] [0.176477, 0.276481] [0.152156, 0.252159] [0.147482, 0.247485] [0.125331, 0.225334] [0.125585, 0.225587] [0.109465, 0.209467] [0.119106, 0.219109] [0.110575, 0.210577] [0.130503, 0.230505] [0.128239, 0.228242] [0.155453, 0.255455] [0.155760, 0.255762] 
